                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3231,                 2.7146,                  2.344,                0.34017,                0.23819,                0.20316,                0.10108,                  1.728,                 3.3129,                 1.9242,               0.070064,              0.0033262,              0.0033262
                      2,                 1.8662,                 2.1678,                 1.8962,                 0.3655,                 0.3682,                0.31162,                0.18358,                 1.5068,                 2.2168,                 1.7276,               0.040042,              0.0066376,              0.0066376
                      3,                 1.7782,                 1.9922,                 1.8046,                0.44318,                0.45133,                0.38154,                0.23795,                  1.397,                 1.8971,                 1.5989,              0.0099981,              0.0099269,              0.0099269
                      4,                 1.7022,                 1.8839,                 1.7477,                0.44114,                0.44702,                0.38427,                0.24283,                 1.3729,                 2.0688,                 1.5797,               0.009901,               0.009901,               0.009901
                      5,                 1.6854,                 1.8038,                 1.7496,                0.43049,                   0.49,                0.44076,                 0.2816,                 1.3283,                 1.8549,                 1.5554,               0.009901,               0.009901,               0.009901
                      6,                 1.6593,                 1.7741,                 1.7113,                0.38907,                0.54523,                0.42644,                0.27532,                 1.3337,                 1.9104,                 1.5697,               0.009868,               0.009868,               0.009868
                      7,                 1.6469,                 1.7246,                 1.7058,                0.46532,                0.58096,                0.49574,                0.31507,                 1.4385,                 1.6758,                 1.6327,               0.009835,               0.009835,               0.009835
                      8,                 1.6474,                 1.7038,                  1.706,                0.44663,                0.52907,                0.48933,                0.31629,                 1.3266,                 1.6633,                 1.5474,               0.009802,               0.009802,               0.009802
                      9,                 1.6167,                 1.6649,                  1.699,                0.50278,                0.56096,                0.51923,                0.34781,                 1.2842,                 1.6781,                 1.5357,               0.009769,               0.009769,               0.009769
                     10,                 1.6012,                 1.6293,                 1.6774,                0.46431,                0.56512,                0.52055,                0.35155,                 1.2488,                 1.5939,                 1.5171,               0.009736,               0.009736,               0.009736
                     11,                 1.6041,                 1.6296,                 1.6922,                 0.5523,                0.55815,                0.52992,                0.35455,                 1.2417,                 1.6213,                 1.5166,               0.009703,               0.009703,               0.009703
                     12,                 1.5791,                  1.617,                 1.6818,                0.48864,                0.56902,                0.55931,                0.37621,                  1.232,                 1.5499,                 1.4888,                0.00967,                0.00967,                0.00967
                     13,                 1.5718,                 1.5881,                  1.665,                0.58657,                0.59885,                0.58184,                0.39031,                  1.253,                 1.5126,                 1.5129,               0.009637,               0.009637,               0.009637
                     14,                 1.5744,                 1.5358,                 1.6629,                0.53258,                0.55711,                 0.5796,                0.39406,                 1.2099,                 1.5315,                 1.4909,               0.009604,               0.009604,               0.009604
                     15,                 1.5583,                 1.5145,                 1.6414,                0.58864,                0.57496,                0.59712,                0.40903,                 1.1856,                 1.5052,                 1.4524,               0.009571,               0.009571,               0.009571
                     16,                 1.5483,                 1.5058,                 1.6454,                0.55261,                0.61608,                0.61399,                0.41677,                 1.2178,                 1.4446,                 1.4849,               0.009538,               0.009538,               0.009538
                     17,                 1.5471,                 1.4957,                 1.6406,                0.52015,                0.62623,                0.61402,                0.42015,                 1.2249,                 1.5366,                 1.4985,               0.009505,               0.009505,               0.009505
                     18,                 1.5485,                  1.474,                 1.6328,                0.57255,                0.61049,                 0.6167,                0.43076,                 1.2027,                 1.4415,                 1.4712,               0.009472,               0.009472,               0.009472
                     19,                 1.5298,                 1.4606,                 1.6215,                0.53427,                0.61088,                 0.6053,                0.41713,                 1.1966,                 1.4958,                 1.4901,               0.009439,               0.009439,               0.009439
                     20,                 1.5371,                 1.4682,                 1.6534,                0.50185,                0.63614,                0.61418,                0.41749,                 1.2094,                 1.4935,                 1.4725,               0.009406,               0.009406,               0.009406
                     21,                 1.5216,                 1.4429,                 1.6153,                0.58789,                 0.6106,                0.63759,                0.44229,                 1.1865,                 1.4261,                 1.4628,               0.009373,               0.009373,               0.009373
                     22,                  1.534,                 1.4776,                 1.6484,                0.47503,                0.66642,                0.57694,                0.39256,                 1.2179,                 1.6145,                 1.4926,                0.00934,                0.00934,                0.00934
                     23,                  1.527,                 1.4428,                 1.6245,                0.62514,                0.63899,                0.70049,                0.49359,                 1.1924,                 1.3724,                 1.4542,               0.009307,               0.009307,               0.009307
                     24,                 1.5283,                 1.3969,                 1.6257,                0.60207,                0.66678,                 0.6717,                 0.4749,                 1.1605,                 1.4065,                 1.4385,               0.009274,               0.009274,               0.009274
