                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3908,                 2.8077,                 2.4284,                0.16592,                0.40132,                0.15796,                0.08343,                 1.6064,                 2.5679,                 1.7887,               0.070096,              0.0033226,              0.0033226
                      2,                 1.8695,                 2.1475,                 1.8614,                0.38442,                 0.4189,                 0.3013,                0.17725,                 1.4716,                 2.1848,                  1.663,               0.040074,               0.006634,               0.006634
                      3,                 1.7838,                  1.989,                 1.7816,                0.37393,                0.42939,                0.33135,                0.20221,                 1.4195,                 2.6196,                 1.6507,                0.01003,              0.0099234,              0.0099234
                      4,                 1.7476,                 1.9103,                 1.7443,                0.38816,                0.50723,                0.40463,                0.25872,                 1.4223,                 1.9647,                 1.5991,               0.009901,               0.009901,               0.009901
                      5,                  1.716,                  1.831,                  1.724,                0.41582,                0.52187,                0.43503,                0.26913,                 1.4514,                 1.8247,                 1.5862,               0.009901,               0.009901,               0.009901
                      6,                 1.6813,                 1.7756,                 1.6938,                0.38107,                0.48422,                0.43931,                0.28322,                 1.3421,                 1.9377,                 1.5373,               0.009868,               0.009868,               0.009868
                      7,                 1.6489,                 1.7034,                 1.6671,                0.40782,                0.50144,                0.45168,                0.29075,                 1.3218,                 1.8235,                 1.5448,               0.009835,               0.009835,               0.009835
                      8,                 1.6296,                 1.6611,                 1.6625,                 0.4507,                0.54704,                0.50449,                0.33627,                 1.3182,                 1.5955,                 1.5013,               0.009802,               0.009802,               0.009802
                      9,                 1.6104,                 1.5987,                 1.6379,                0.54444,                0.50975,                 0.5275,                0.34883,                 1.2812,                 1.6695,                 1.5052,               0.009769,               0.009769,               0.009769
                     10,                 1.6263,                 1.5859,                 1.6519,                0.44434,                0.62943,                0.54868,                0.37023,                 1.2555,                 1.6096,                 1.4709,               0.009736,               0.009736,               0.009736
                     11,                 1.5906,                 1.5523,                 1.6376,                0.50118,                0.54257,                0.55004,                0.35798,                 1.2707,                 1.6434,                 1.4997,               0.009703,               0.009703,               0.009703
                     12,                 1.5721,                 1.4878,                 1.6178,                0.51647,                0.59795,                0.55918,                 0.3771,                 1.2433,                 1.5818,                 1.4704,                0.00967,                0.00967,                0.00967
                     13,                 1.6001,                 1.5029,                 1.6231,                0.49953,                0.57663,                0.56882,                0.38664,                 1.2484,                 1.5914,                 1.4917,               0.009637,               0.009637,               0.009637
                     14,                 1.5541,                 1.4874,                 1.6126,                0.54096,                0.59927,                0.61488,                0.41463,                 1.2338,                 1.4811,                 1.4754,               0.009604,               0.009604,               0.009604
                     15,                 1.5616,                 1.4686,                 1.6101,                0.46524,                0.57203,                0.56178,                0.37001,                 1.3264,                 1.5753,                 1.4923,               0.009571,               0.009571,               0.009571
                     16,                 1.5522,                 1.4816,                 1.6158,                 0.5601,                0.60889,                0.62088,                0.41869,                 1.2107,                 1.4442,                 1.4454,               0.009538,               0.009538,               0.009538
                     17,                 1.5632,                 1.4712,                 1.6156,                0.55623,                0.58856,                 0.6192,                0.42398,                 1.2392,                 1.5045,                 1.4554,               0.009505,               0.009505,               0.009505
                     18,                 1.5287,                 1.4278,                 1.5902,                 0.5738,                0.61801,                0.63085,                0.43723,                 1.2079,                 1.4545,                 1.4407,               0.009472,               0.009472,               0.009472
                     19,                 1.5271,                 1.3893,                 1.5762,                 0.5226,                0.63983,                0.61208,                0.42347,                 1.2263,                 1.4753,                 1.4497,               0.009439,               0.009439,               0.009439
                     20,                 1.5144,                 1.4105,                 1.5884,                0.58595,                 0.6438,                0.63948,                0.44616,                 1.2052,                  1.434,                  1.443,               0.009406,               0.009406,               0.009406
                     21,                  1.522,                 1.3635,                 1.5731,                0.59812,                0.66077,                0.64277,                 0.4445,                 1.2388,                 1.4134,                 1.4531,               0.009373,               0.009373,               0.009373
                     22,                 1.5067,                 1.3773,                 1.5782,                0.69724,                0.65748,                0.68356,                0.47968,                 1.1629,                 1.3825,                 1.4124,                0.00934,                0.00934,                0.00934
                     23,                 1.5319,                 1.3628,                 1.5892,                0.56698,                0.63062,                0.65641,                0.45974,                 1.1946,                 1.3715,                 1.4263,               0.009307,               0.009307,               0.009307
                     24,                 1.5264,                 1.3479,                 1.5759,                0.72397,                0.61504,                0.69312,                0.49031,                  1.172,                 1.3752,                 1.4164,               0.009274,               0.009274,               0.009274
                     25,                 1.5469,                 1.3706,                 1.5894,                0.62996,                0.69953,                0.71038,                0.49942,                 1.2154,                 1.3108,                 1.4419,               0.009241,               0.009241,               0.009241
                     26,                 1.5171,                 1.3349,                 1.5594,                0.59013,                0.65696,                0.67615,                0.47039,                 1.2079,                 1.3548,                 1.4414,               0.009208,               0.009208,               0.009208
                     27,                 1.4847,                 1.3376,                 1.5524,                0.68194,                 0.6586,                0.71961,                0.50967,                 1.1591,                 1.3261,                 1.4054,               0.009175,               0.009175,               0.009175
                     28,                  1.492,                  1.298,                 1.5522,                0.63307,                0.67007,                0.71383,                0.51165,                  1.189,                 1.2896,                 1.4253,               0.009142,               0.009142,               0.009142
                     29,                 1.4886,                 1.3077,                 1.5559,                0.49373,                0.67545,                0.59281,                0.41008,                 1.2006,                 1.6878,                 1.4084,               0.009109,               0.009109,               0.009109
                     30,                 1.4937,                 1.2761,                 1.5511,                0.68162,                0.65639,                 0.7245,                0.51668,                 1.1773,                 1.2982,                 1.4081,               0.009076,               0.009076,               0.009076
                     31,                  1.485,                 1.3168,                 1.5501,                0.61631,                0.70713,                0.69713,                0.49296,                 1.1828,                 1.3672,                 1.4245,               0.009043,               0.009043,               0.009043
                     32,                 1.4951,                 1.3003,                  1.561,                0.62559,                 0.7025,                0.68912,                0.48358,                 1.1668,                 1.3094,                 1.4073,                0.00901,                0.00901,                0.00901
