                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4856,                 2.8344,                  2.441,                0.30568,                0.30277,                0.18392,                0.08573,                 1.8748,                 3.9696,                 2.0044,               0.070128,              0.0033191,              0.0033191
                      2,                 1.9378,                 2.1294,                   1.84,                0.40502,                0.32315,                0.25468,                0.14071,                  1.626,                 2.6618,                 1.7159,               0.040106,              0.0066305,              0.0066305
                      3,                 1.8028,                 1.9858,                 1.7269,                0.27943,                0.36137,                0.27039,                0.15812,                   1.51,                 2.9248,                 1.6791,               0.010062,              0.0099198,              0.0099198
                      4,                 1.7458,                 1.8825,                 1.6952,                 0.4474,                0.42539,                0.39417,                0.23589,                 1.5124,                 2.1801,                 1.6212,               0.009901,               0.009901,               0.009901
                      5,                  1.727,                 1.8163,                  1.682,                0.43604,                0.47594,                0.43481,                0.28048,                 1.3543,                 1.7774,                 1.5018,               0.009901,               0.009901,               0.009901
                      6,                 1.7064,                 1.7228,                  1.669,                0.45001,                0.51282,                0.44922,                0.29316,                 1.4265,                 1.8471,                 1.5686,               0.009868,               0.009868,               0.009868
                      7,                 1.6486,                 1.6655,                 1.6254,                0.51386,                 0.4646,                0.45462,                0.28818,                 1.3728,                 1.8966,                 1.5486,               0.009835,               0.009835,               0.009835
                      8,                 1.6307,                 1.6117,                 1.6095,                0.43974,                0.52633,                 0.5068,                0.32625,                 1.3019,                 1.6534,                 1.4647,               0.009802,               0.009802,               0.009802
                      9,                 1.6235,                 1.5702,                 1.6001,                0.50246,                0.53599,                0.50893,                0.32956,                 1.3638,                 1.6909,                 1.4927,               0.009769,               0.009769,               0.009769
                     10,                 1.6277,                 1.5646,                 1.6108,                0.44415,                0.54543,                0.49114,                0.32587,                 1.2922,                 1.6442,                  1.483,               0.009736,               0.009736,               0.009736
                     11,                 1.5922,                 1.5133,                 1.5807,                0.49814,                0.60651,                0.58277,                0.38547,                 1.3509,                 1.6044,                  1.478,               0.009703,               0.009703,               0.009703
